Sample,simpson,shannon,Diversity,Obs_Species,Ice,Month,Date
Jan13,0.967141367,6.434025291,14.73584,552.5,Ice,January,2016-01-13
Jan14,0.973635505,6.576834038,15.201665,548.7,Ice,January,2016-01-14
Jan15,0.967668938,6.418097048,16.534072,554.9,Ice,January,2016-01-15
Jan18,0.96755044,6.399830167,14.73584,524.8,Ice,January,2016-01-18
Jan20,0.967196669,6.370881574,16.239789,548.9,Ice,January,2016-01-20
Jan19,0.972283561,6.571901813,16.30878,586.1,Ice,January,2016-01-19
Jan21,0.965832799,6.316162321,16.98363,539.3,Ice,January,2016-01-21
Jan22,0.970780736,6.452197019,16.98363,544.2,Ice,January,2016-01-22
Jan25,0.972852846,6.529690276,16.141736,561.6,Ice,January,2016-01-25
Jan26,0.972596523,6.521570542,18.242432,555.7,Ice,January,2016-01-26
Jan27,0.972159643,6.510000706,18.332304,538.7,Ice,January,2016-01-27
Jan28,0.97100509,6.496763505,14.73584,553.1,Ice,January,2016-01-28
Jan29,0.97127787,6.513400137,19.393988,556.5,Ice,January,2016-01-29
Feb1,0.972432468,6.534384519,16.084514,551.7,Ice,February,2016-02-01
Feb2,0.971869668,6.512841214,16.98363,546.1,Ice,February,2016-02-02
Feb3,0.972725792,6.533578825,16.98363,563,Ice,February,2016-02-03
Feb4,0.973979999,6.557361517,14.73584,549.2,Ice,February,2016-02-04
Feb5,0.975243879,6.741465857,19.393988,610.1,Ice,February,2016-02-05
Feb8,0.974961908,6.676810189,19.23142,595,Ice,February,2016-02-08
Feb9,0.97601022,6.695850088,19.515914,591.8,Ice,February,2016-02-09
Feb11,0.975869434,6.72709875,19.552224,618.8,Ice,February,2016-02-10
Feb12,0.976394199,6.824978009,19.657135,627.4,Ice,February,2016-02-12
Feb15,0.978637429,6.886833616,19.645916,622.2,Ice,February,2016-02-15
Feb16,0.976249977,6.680944088,19.393988,602.5,Ice,February,2016-02-16
Feb18,0.976606622,6.691537403,19.475272,597.1,Ice,February,2016-02-18
Feb19,0.976288106,6.715297262,19.393988,614.5,Ice,February,2016-02-19
Feb22,0.974715546,6.605333629,19.640549,604.2,Ice,February,2016-02-22
Feb23,0.978449195,6.872946334,19.597198,629.5,Ice,February,2016-02-23
Feb25,0.973241167,6.590555628,19.43463,601.8,Ice,February,2016-02-25
Feb26,0.974236197,6.664185307,19.23142,606.9,Ice,February,2016-02-26
Feb29,0.981028807,7.068869997,19.641878,641,Ice,February,2016-02-29
Mar2,0.980027326,7.009191043,19.556556,631.2,Ice,March,2016-03-02
Mar3,0.979663652,6.99493619,19.564632,636.5,Ice,March,2016-03-03
Mar4,0.978280849,6.90798343,19.597198,615.7,Ice,March,2016-03-04
Mar7,0.978715776,6.930405381,19.475272,609.9,Ice,March,2016-03-07
Mar8,0.979048355,6.959284906,19.562613,601.5,Ice,March,2016-03-08
Mar9,0.980397778,7.03013924,19.515914,607.2,Ice,March,2016-03-09
Mar10,0.979300369,6.914941702,19.556556,580.3,Ice,March,2016-03-10
Mar11,0.979795629,6.980878961,19.558575,601.8,Ice,March,2016-03-11
Mar14,0.980789798,6.981231822,19.515914,598.2,Ice_Free,March,2016-03-14
Mar15,0.975933887,6.697585306,19.393988,546.9,Ice_Free,March,2016-03-15
Mar21,0.974226415,6.723053738,19.597198,586.3,Ice_Free,March,2016-03-21
Mar22,0.967499269,6.431465576,19.23142,544.3,Ice_Free,March,2016-03-22
Mar23,0.968784217,6.541199119,19.23142,564.1,Ice_Free,March,2016-03-23
Mar24,0.974928991,6.611843942,19.23142,536.8,Ice_Free,March,2016-03-24
Mar31,0.938671554,5.589540682,14.83959,429.6,Ice_Free,March,2016-03-31
Apr18,0.980549181,6.548752499,13.99269,450.4,Ice_Free,April,2016-04-18
Apr19,0.970786099,6.22200317,15.310239,424.9,Ice_Free,April,2016-04-19
